Categoría,Ciudad y País,Institución,Teléfonos
ASISTENCIA Y PREVENCIÓN DEL SUICIDIO,"Buenos Aires, Argentina",Centro de Atención al Suicida,"Línea Telefónica Gratuita: 135, Línea Telefónica con Costo: (+54) 11-5275-1135"
ASISTENCIA Y PREVENCIÓN DEL SUICIDIO,Uruguay,Fundación Último Recurso,"Línea Telefónica Gratuita (de 19 hs a 23 hs): 0800 8483 (0800 VIVE), Línea Telefónica las 24 hs: (+598) 095 73 8483, Línea Celular: *8483 (*VIVE) (Gratuito desde Antel y Movistar)"
ASISTENCIA Y PREVENCIÓN DEL SUICIDIO,Uruguay,ASSE Salud,"Línea Telefónica gratuita las 24 hs: 0800 0767, Línea Celular: *0767"
ASISTENCIA Y PREVENCIÓN DEL SUICIDIO,"Rio de Janeiro, Brasil",Centro de Valorización de la Vida,Línea Telefónica: 141
ASISTENCIA Y PREVENCIÓN DEL SUICIDIO,"Santiago de Chile, Chile",Fundación Vínculos,Líneas Telefónicas: (+56) 222442533 y (+56) 982481971
ASISTENCIA Y PREVENCIÓN DEL SUICIDIO,"San José, Costa Rica",Fundación Rescatando Vidas,Líneas Telefónicas: (+506) 22730381 / (+506) 87855753 / (+506) 83742377
ASISTENCIA Y PREVENCIÓN DEL SUICIDIO,"Ciudad de México, México",SAPTEL Cruz Roja Mexicana,Línea Telefónica: 01800-4727835
ASISTENCIA Y PREVENCIÓN DEL SUICIDIO,"D.F., México",Plan Estratégico para la Prevención del Suicidio del Gobierno del D.F.,Línea Telefónica: 0155-55335533
EMERGENCIAS,Argentina,Central de Emergencias,Línea Telefónica: 911
EMERGENCIAS,"Ciudad de Buenos Aires, Argentina",SAME,"Línea Telefónica gratuita: 107, Whatsapp: +54 9 11 5050-0147"
EMERGENCIAS,México,Central de Emergencias,Línea Telefónica: 066
VÍCTIMAS DE VIOLENCIA FAMILIAR Y SEXUAL,"Buenos Aires y Misiones, Argentina",Atención a las víctimas,Línea Telefónica gratuita 24 horas: 137
VÍCTIMAS DE VIOLENCIA FAMILIAR Y SEXUAL,"Provincia de Buenos Aires, Argentina",Mujeres en situación de violencia,Línea Telefónica gratuita 24 horas: 144
VÍCTIMAS DE VIOLENCIA FAMILIAR Y SEXUAL,Argentina,"Situaciones de Explotación Sexual de Niñas, Niños o Adolescentes",Línea Telefónica gratuita 24 horas: 0800-222-1717
VÍCTIMAS DE VIOLENCIA FAMILIAR Y SEXUAL,"D.F., México",Línea de atención a mujeres en situación de violencia – Locatel – Gobierno del D.F.,Línea Telefónica 24 horas: 56581111
DERECHO DE LA NIÑEZ Y ADOLESCENCIA,Argentina,"Derechos de niñas, niños y adolescentes",Línea Telefónica gratuita 24 horas: 102
DERECHO DE LA NIÑEZ Y ADOLESCENCIA,"San Luis, Argentina","Derechos de niñas, niños y adolescentes",Línea Telefónica gratuita 24 horas: 911
DERECHO DE LA NIÑEZ Y ADOLESCENCIA,"Chubut, Argentina","Derechos de niñas, niños y adolescentes",Líneas Telefónicas: (0297) 15-477-9774 / (2945) 15-55-1610 / (0280) 15-457-5758
DERECHO DE LA NIÑEZ Y ADOLESCENCIA,"Santa Fe, Argentina","Derechos de niñas, niños y adolescentes",Líneas Telefónicas: (0342) 514-5520
DERECHO DE LA NIÑEZ Y ADOLESCENCIA,"La Pampa, Argentina","Derechos de niñas, niños y adolescentes",Línea Telefónica gratuita 24 horas: 101
DERECHO DE LA NIÑEZ Y ADOLESCENCIA,"Santa Cruz, Argentina","Derechos de niñas, niños y adolescentes",Líneas Telefónicas: (02966) 64-4943 / (2966) 70-6676
DERECHO DE LA NIÑEZ Y ADOLESCENCIA,"Tierra del Fuego, Argentina","Derechos de niñas, niños y adolescentes",Líneas Telefónicas: (02901) 65-7789 / (02901) 46-4472 / (02964) 49-0270 / (02964) 60-5670
